flight_id,sequence,timestamp,latitude,longitude,kts,mph,feet,rate,phase,distance_km,cum_distance
AXM706_20250317_0,39,Thu 12:45:13 PM,2.113,102.5677,454.0,522.0,19825.0,-2779.0,descent,7.8875042702675175,198.76241965932678
AXM706_20250317_0,40,Thu 12:45:43 PM,2.1143,102.5047,444.0,511.0,18500.0,-2550.0,descent,7.009879519709042,205.77229917903583
AXM706_20250317_0,41,Thu 12:46:13 PM,2.1156,102.4472,435.0,501.0,17275.0,-2550.0,descent,6.398173843067133,212.17047302210295
AXM706_20250317_0,42,Thu 12:46:43 PM,2.1169,102.3874,427.0,491.0,15950.0,-2550.0,descent,6.653966807864016,218.82443982996696
AXM706_20250317_0,43,Thu 12:47:13 PM,2.1178,102.3304,419.0,482.0,14725.0,-2711.0,descent,6.341697405938541,225.1661372359055
AXM706_20250317_0,44,Thu 12:47:40 PM,2.1208,102.2742,414.0,476.0,13375.0,-2625.0,descent,6.260811950792908,231.4269491866984
AXM706_20250317_0,45,Thu 12:48:05 PM,2.1331,102.23,404.0,465.0,12450.0,-2342.0,descent,5.1040231154998805,236.53097230219828
AXM706_20250317_0,46,Thu 12:48:37 PM,2.154,102.1747,395.0,455.0,11150.0,-2459.0,descent,6.576911389688912,243.1078836918872
AXM706_20250317_0,47,Thu 12:49:06 PM,2.1724,102.1246,388.0,447.0,9950.0,-2644.0,descent,5.937608205112631,249.04549189699983
AXM706_20250317_0,48,Thu 12:49:36 PM,2.1907,102.0731,386.0,444.0,8550.0,-2025.0,descent,6.080217017891516,255.12570891489136
AXM706_20250317_0,49,Thu 12:50:06 PM,2.2083,102.0242,363.0,418.0,7925.0,-1109.0,descent,5.7815921833950705,260.90730109828644
AXM706_20250317_0,50,Thu 12:50:22 PM,2.2161,102.0027,351.0,404.0,7700.0,-815.0,descent,2.544334984894896,263.4516360831813
AXM706_20250317_0,51,Thu 12:50:52 PM,2.2332,101.9572,326.0,375.0,7300.0,-700.0,descent,5.407352819998701,268.85898890318003
AXM706_20250317_0,52,Thu 12:51:22 PM,2.2489,101.9163,303.0,349.0,7000.0,-620.0,descent,4.873635065630227,273.7326239688103
AXM706_20250317_0,53,Thu 12:51:38 PM,2.2563,101.8964,292.0,336.0,6825.0,-656.0,descent,2.3618636025229964,276.0944875713333
AXM706_20250317_0,54,Thu 12:51:54 PM,2.264,101.8761,282.0,325.0,6650.0,-656.0,descent,2.4152512887089657,278.50973886004226
AXM706_20250317_0,55,Thu 12:52:10 PM,2.2712,101.857,273.0,314.0,6475.0,-685.0,descent,2.270701708461585,280.7804405685038
AXM706_20250317_0,56,Thu 12:52:40 PM,2.2839,101.8235,257.0,296.0,6125.0,-975.0,descent,3.9854390683411225,284.76587963684494
AXM706_20250317_0,57,Thu 12:53:10 PM,2.2976,101.7896,254.0,292.0,5500.0,-1272.0,descent,4.067452115860075,288.833331752705
AXM706_20250317_0,58,Thu 12:53:26 PM,2.3102,101.7766,251.0,289.0,5150.0,-1208.0,descent,2.0145087922067098,290.8478405449117
AXM706_20250317_0,59,Thu 12:53:46 PM,2.3321,101.7722,243.0,280.0,4775.0,-1098.0,descent,2.486545806135654,293.3343863510474
AXM706_20250317_0,60,Thu 12:54:07 PM,2.3546,101.7774,241.0,277.0,4400.0,-1147.0,descent,2.5706108293296186,295.904997180377
AXM706_20250317_0,61,Thu 12:54:37 PM,2.3874,101.7844,239.0,275.0,3800.0,-1175.0,descent,3.73337967631971,299.6383768566967
AXM706_20250317_0,62,Thu 12:55:07 PM,2.4199,101.7917,236.0,272.0,3225.0,-1125.0,descent,3.707883545708331,303.34626040240505
AXM706_20250317_0,63,Thu 12:55:37 PM,2.4518,101.7989,231.0,266.0,2675.0,-781.0,descent,3.6402748602932418,306.9865352626983
AXM706_20250317_0,64,Thu 12:55:55 PM,2.4717,101.8034,227.0,261.0,2600.0,-129.0,cruise,2.2710980789466215,309.2576333416449
AXM706_20250317_0,65,Thu 12:56:12 PM,2.4876,101.807,210.0,242.0,2600.0,43.0,cruise,1.8147057991918532,311.0723391408368
AXM706_20250317_0,66,Thu 12:56:30 PM,2.5042,101.8107,195.0,224.0,2625.0,42.0,cruise,1.893172819022847,312.9655119598596
AXM706_20250317_0,67,Thu 12:56:48 PM,2.519,101.814,193.0,222.0,2625.0,,unknown,1.687917244225411,314.653429204085
AXM706_20250317_0,68,Thu 12:57:10 PM,2.5376,101.8106,201.0,231.0,2625.0,,unknown,2.1047940362882223,316.75822324037324
AXM706_20250317_0,69,Thu 12:57:43 PM,2.5655,101.7932,200.0,230.0,2625.0,,unknown,3.65930259002766,320.4175258304009
AXM706_20250317_0,70,Thu 12:58:16 PM,2.5909,101.7761,202.0,232.0,2625.0,-214.0,cruise,3.4075058915453105,323.82503172194623
AXM706_20250317_0,71,Thu 12:58:32 PM,2.6031,101.768,206.0,237.0,2450.0,-848.0,descent,1.6296680203890255,325.45469974233527
AXM706_20250317_0,72,Thu 12:59:02 PM,2.6259,101.7528,182.0,209.0,1975.0,-900.0,descent,3.049426561551766,328.504126303887
AXM706_20250317_0,73,Thu 12:59:32 PM,2.6456,101.7396,158.0,182.0,1550.0,-800.0,descent,2.6389151386480427,331.14304144253504
AXM706_20250317_0,74,Thu 01:00:02 PM,2.6636,101.7275,155.0,178.0,1175.0,-750.0,descent,2.4136009223941404,333.5566423649292
AXM706_20250317_0,75,Thu 01:00:18 PM,2.672,101.7219,152.0,175.0,975.0,-868.0,descent,1.123460094631276,334.6801024595605
AXM706_20250317_0,76,Thu 01:00:21 PM,2.6751,101.7198,153.0,176.0,900.0,-750.0,descent,0.41667588526845956,335.0967783448289
AXM706_20250317_0,77,Thu 01:00:34 PM,2.6816,101.7155,154.0,177.0,775.0,-672.0,descent,0.8672930217237049,335.9640713665526
AXM706_20250317_0,78,Thu 01:00:50 PM,2.6909,101.7092,152.0,175.0,575.0,-797.0,descent,1.2500225823236346,337.21409394887627
AXM706_20250317_0,79,Thu 01:01:06 PM,2.7014,101.7022,151.0,174.0,350.0,-844.0,descent,1.4043147295975453,338.6184086784738
AXM706_20250317_1,1,Wed 12:18:37 PM,1.3525,103.9949,167.0,192.0,600.0,,unknown,0.0,0.0
AXM706_20250317_1,2,Wed 12:18:55 PM,1.3652,103.9999,185.0,213.0,1175.0,1985.0,climb,1.5193275993004922,1.5193275993004922
AXM706_20250317_1,3,Wed 12:19:11 PM,1.3794,104.0059,208.0,239.0,1725.0,2297.0,climb,1.715986653897194,3.235314253197686
AXM706_20250317_1,4,Wed 12:19:27 PM,1.3935,104.012,228.0,262.0,2400.0,2953.0,climb,1.710123020940899,4.945437274138586
AXM706_20250317_1,5,Wed 12:19:43 PM,1.4098,104.0191,236.0,272.0,3300.0,2700.0,climb,1.9790851621660719,6.924522436304658
AXM706_20250317_1,6,Wed 12:20:07 PM,1.4342,104.0296,240.0,276.0,4200.0,1763.0,climb,2.956884124814306,9.881406561118965
AXM706_20250317_1,7,Wed 12:20:23 PM,1.4504,104.0359,242.0,278.0,4475.0,984.0,climb,1.9348702466156396,11.816276807734605
AXM706_20250317_1,8,Wed 12:20:39 PM,1.4686,104.0357,248.0,285.0,4725.0,986.0,climb,2.0261462456299792,13.842423053364584
AXM706_20250317_1,9,Wed 12:20:58 PM,1.486,104.0215,255.0,293.0,5050.0,1781.0,climb,2.4997832317462607,16.342206285110844
AXM706_20250317_1,10,Wed 12:21:27 PM,1.4999,103.9923,267.0,307.0,6150.0,2568.0,climb,3.599039163636007,19.94124544874685
AXM706_20250317_1,11,Wed 12:21:57 PM,1.5176,103.9568,289.0,333.0,7575.0,2600.0,climb,4.414586934043055,24.355832382789906
AXM706_20250317_1,12,Wed 12:22:27 PM,1.5356,103.9207,296.0,341.0,8750.0,2674.0,climb,4.489211561584976,28.845043944374883
AXM706_20250317_1,13,Wed 12:22:43 PM,1.5437,103.9001,304.0,350.0,9625.0,2633.0,climb,2.463323281788688,31.308367226163572
AXM706_20250317_1,14,Wed 12:23:16 PM,1.5515,103.8534,340.0,391.0,10900.0,2190.0,climb,5.268778340452778,36.57714556661635
AXM706_20250317_1,15,Wed 12:23:46 PM,1.5594,103.8039,353.0,406.0,11925.0,1775.0,climb,5.578060070744246,42.155205637360595
AXM706_20250317_1,16,Wed 12:24:16 PM,1.5672,103.7554,358.0,412.0,12675.0,1750.0,climb,5.466402057832606,47.6216076951932
AXM706_20250317_1,17,Wed 12:24:46 PM,1.5752,103.7061,366.0,421.0,13675.0,2325.0,climb,5.55781576676874,53.17942346196194
AXM706_20250317_1,18,Wed 12:25:16 PM,1.5835,103.6549,377.0,434.0,15000.0,2464.0,climb,5.771840772159169,58.951264234121105
AXM706_20250317_1,19,Wed 12:25:42 PM,1.5915,103.6092,377.0,434.0,15975.0,1699.0,climb,5.162751123819521,64.11401535794063
AXM706_20250317_1,20,Wed 12:26:24 PM,1.614,103.5388,384.0,442.0,16925.0,1229.0,climb,8.224490200002155,72.33850555794278
AXM706_20250317_1,21,Wed 12:26:54 PM,1.6313,103.4882,387.0,445.0,17450.0,1025.0,climb,5.950754324449822,78.2892598823926
AXM706_20250317_1,22,Wed 12:27:24 PM,1.649,103.4377,389.0,448.0,17950.0,676.0,climb,5.954764928528072,84.24402481092068
AXM706_20250317_1,23,Wed 12:27:45 PM,1.6615,103.4017,389.0,448.0,18025.0,647.0,climb,4.240635236042989,88.48466004696367
AXM706_20250317_1,24,Wed 12:28:15 PM,1.6827,103.3509,393.0,452.0,18500.0,1625.0,climb,6.125488367837103,94.61014841480078
AXM706_20250317_1,25,Wed 12:28:45 PM,1.7039,103.3031,399.0,459.0,19650.0,2175.0,climb,5.818810349159248,100.42895876396003
AXM706_20250317_1,26,Wed 12:29:15 PM,1.727,103.2514,403.0,464.0,20675.0,1500.0,climb,6.301215804947187,106.73017456890722
AXM706_20250317_1,27,Wed 12:29:46 PM,1.7511,103.198,412.0,474.0,21175.0,959.0,climb,6.519311399530517,113.24948596843774
AXM706_20250317_1,28,Wed 12:30:16 PM,1.7758,103.1438,430.0,495.0,21650.0,787.0,climb,6.627896889860133,119.87738285829788
AXM706_20250317_1,29,Wed 12:30:47 PM,1.8011,103.0887,451.0,519.0,21975.0,363.0,climb,6.7466724715327,126.62405532983058
AXM706_20250317_1,30,Wed 12:31:18 PM,1.8284,103.0295,453.0,521.0,22025.0,64.0,cruise,7.254069603539707,133.8781249333703
AXM706_20250317_1,31,Wed 12:31:34 PM,1.8413,103.0003,454.0,522.0,22025.0,,unknown,3.552084483484947,137.43020941685523
