Time (+08),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Thu 12:18:00 PM    Left Gate (SIN) @ Thursday 12:18:00 PM +08,,,,,,,, Airline
Taxi Time: 10 minutes,,,,,,,,
Thu 12:28:03 PM    Departure (SIN) @ Thursday 12:28:03 PM +08,,,,,,,, FlightAware ADS-B (XSP / WSSL)
Fri 12:49:51 PM,2.2335,102.0315,← 286°,272,313,6125,, FlightAware ADS-B (MKZ / WMKM)
Fri 12:50:11 PM,2.2409,102.007,← 287°,272,313,6125,, FlightAware ADS-B (SZB / WMSA)
Fri 12:50:31 PM,2.2481,101.9828,← 287°,273,314,6125,, FlightAware ADS-B (SZB / WMSA)
Fri 12:50:51 PM,2.2555,101.9584,← 287°,272,313,6125,-270, FlightAware ADS-B (MKZ / WMKM)
Fri 12:51:21 PM,2.2659,101.9237,← 287°,270,311,5900,-1025, FlightAware ADS-B (MKZ / WMKM)
Fri 12:51:51 PM,2.2765,101.8881,← 287°,265,305,5100,-1725, FlightAware ADS-B (MKZ / WMKM)
Fri 12:52:21 PM,2.2866,101.8544,← 287°,264,304,4175,-1890, FlightAware ADS-B (SZB / WMSA)
Fri 12:52:41 PM,2.2949,101.8296,← 296°,263,303,3525,-1618, FlightAware ADS-B (MKZ / WMKM)
Fri 12:52:59 PM,2.3097,101.8137,↖ 327°,258,297,3150,-1071, FlightAware ADS-B (KUL / WMKK)
Fri 12:53:16 PM,2.3289,101.8084,↑ 360°,250,288,2900,-654, FlightAware ADS-B (KUL / WMKK)
Fri 12:53:38 PM,2.3527,101.8095,↑ 2°,236,272,2725,-375, FlightAware ADS-B (MKZ / WMKM)
Fri 12:54:00 PM,2.3768,101.8102,↑ 2°,229,264,2625,-146, FlightAware ADS-B (MKZ / WMKM)
Fri 12:54:19 PM,2.3965,101.811,↑ 3°,207,238,2625,, FlightAware ADS-B (KUL / WMKK)
Fri 12:54:39 PM,2.4142,101.8117,↑ 2°,197,227,2625,, FlightAware ADS-B (MKZ / WMKM)
Fri 12:55:17 PM,2.4502,101.8133,↑ 3°,198,228,2625,, FlightAware ADS-B (KUL / WMKK)
Fri 12:55:33 PM,2.4631,101.8139,↑ 3°,197,227,2625,, FlightAware ADS-B (SZB / WMSA)
Fri 12:56:06 PM,2.4943,101.8152,↑ 2°,196,226,2625,, FlightAware ADS-B (KUL / WMKK)
Fri 12:56:23 PM,2.5101,101.8159,↑ 3°,195,224,2625,-42, FlightAware ADS-B (SZB / WMSA)
Fri 12:56:42 PM,2.5271,101.8158,↑ 347°,198,228,2600,, FlightAware ADS-B (MKZ / WMKM)
Fri 12:56:58 PM,2.5408,101.8093,↖ 328°,201,231,2625,42, FlightAware ADS-B (SZB / WMSA)
Fri 12:57:18 PM,2.5556,101.7997,↖ 327°,201,231,2625,, FlightAware ADS-B (SZB / WMSA)
Fri 12:57:48 PM,2.5791,101.7841,↖ 326°,196,226,2625,, FlightAware ADS-B (SZB / WMSA)
Fri 12:58:08 PM,2.593,101.7748,↖ 326°,165,190,2625,-284, FlightAware ADS-B (SZB / WMSA)
Fri 12:58:25 PM,2.6038,101.7676,↖ 326°,163,188,2450,-734, FlightAware ADS-B (SZB / WMSA)
Fri 12:58:55 PM,2.6229,101.7548,↖ 326°,161,185,2050,-800, FlightAware ADS-B (SZB / WMSA)
Fri 12:59:25 PM,2.641,101.7427,↖ 325°,164,189,1650,-825, FlightAware ADS-B (KUL / WMKK)
Fri 12:59:55 PM,2.66,101.7299,↖ 326°,165,190,1225,-849, FlightAware ADS-B (KUL / WMKK)
Fri 01:00:18 PM,2.6753,101.7197,↖ 326°,165,190,900,-825, Surface and Near-Surface
Fri 01:00:35 PM,2.6856,101.7127,↖ 326°,164,189,675,-794, FlightAware ADS-B (KUL / WMKK)
Fri 01:00:52 PM,2.6963,101.7056,↖ 326°,164,189,450,-794, FlightAware ADS-B (KUL / WMKK)
Fri 01:01:43 PM    Arrival (KUL) @ Friday 01:01:43 PM +08,,,,,,,, FlightAware
Taxi Time: 5 minutes,,,,,,,,
Fri 01:07:00 PM    Gate Arrival (KUL) @ Friday 01:07:00 PM +08,,,,,,,, Airline
,,,,,,,,
Thu 12:45:00 PM    Left Gate (SIN) @ Thursday 12:45:00 PM +08,,,,,,,, Airline
Taxi Time: 14 minutes,,,,,,,,
Thu 12:59:56 PM    Departure (SIN) @ Thursday 12:59:56 PM +08,,,,,,,, FlightAware ADS-B (QPG / WSAP)
Thu 12:59:56 PM,1.3354,103.988,↙ 202°,160,184,675,, FlightAware ADS-B (QPG / WSAP)
Thu 01:00:12 PM,1.3238,103.9832,↙ 203°,182,209,1050,1500, FlightAware ADS-B (WSAG)
Thu 01:00:28 PM,1.3094,103.9769,↙ 204°,207,238,1475,1828, FlightAware ADS-B (SIN / WSSS)
Thu 01:00:44 PM,1.2957,103.9709,↙ 204°,229,264,2025,3000, FlightAware ADS-B (SIN / WSSS)
Thu 01:01:09 PM,1.2707,103.9601,↙ 203°,237,273,3525,3614, FlightAware ADS-B (WSAC)
Thu 01:01:28 PM,1.2492,103.9549,↓ 181°,253,291,4675,3250, FlightAware ADS-B (WSAC)
Thu 01:01:45 PM,1.229,103.9618,↘ 146°,281,323,5475,2186, FlightAware ADS-B (SIN / WSSS)
Thu 01:02:03 PM,1.2156,103.9784,↘ 114°,287,330,5950,1629, FlightAware ADS-B (TGA / WSAT)
Thu 01:02:20 PM,1.2122,104.0019,→ 85°,292,336,6425,1667, FlightAware ADS-B (QPG / WSAP)
Thu 01:02:39 PM,1.2221,104.026,↗ 53°,290,334,6950,2385, FlightAware ADS-B (SIN / WSSS)
Thu 01:02:59 PM,1.2442,104.0407,↑ 18°,288,331,7975,3292, FlightAware ADS-B (SIN / WSSS)
Thu 01:03:15 PM,1.2635,104.0427,↑ 354°,281,323,8925,3529, FlightAware ADS-B (XSP / WSSL)
Thu 01:03:33 PM,1.2861,104.0395,↑ 352°,283,326,9975,3153, FlightAware ADS-B (XSP / WSSL)
Thu 01:04:04 PM,1.3292,104.0342,↑ 353°,298,343,11500,2048, FlightAware ADS-B (SIN / WSSS)
Thu 01:04:36 PM,1.3775,104.028,↑ 352°,335,386,12125,1132, FlightAware ADS-B (SIN / WSSS)
Thu 01:04:57 PM,1.4079,104.0237,↑ 350°,341,392,12500,1319, FlightAware ADS-B (SIN / WSSS)
Thu 01:05:34 PM,1.4656,104.0064,↑ 342°,346,398,13400,1475, FlightAware ADS-B (SIN / WSSS)
Thu 01:05:57 PM,1.5006,103.9948,↑ 340°,352,405,13975,1440, FlightAware ADS-B (SIN / WSSS)
Thu 01:06:24 PM,1.5381,103.972,↖ 323°,360,414,14600,1079, FlightAware ADS-B (QPG / WSAP)
Thu 01:06:54 PM,1.579,103.9414,↖ 323°,360,414,15000,462, FlightAware ADS-B (TGA / WSAT)
Thu 01:07:16 PM,1.6109,103.9205,↖ 331°,358,412,15000,144, FlightAware ADS-B (TGA / WSAT)
Thu 01:07:46 PM,1.6527,103.8992,↖ 333°,359,413,15125,875, FlightAware ADS-B (QPG / WSAP)
Thu 01:08:16 PM,1.6981,103.8761,↖ 333°,359,413,15875,1549, FlightAware ADS-B (XSP / WSSL)
Thu 01:08:47 PM,1.7455,103.852,↖ 333°,361,415,16700,1525, FlightAware ADS-B (SIN / WSSS)
Thu 01:09:17 PM,1.7891,103.8299,↖ 333°,370,426,17425,1275, FlightAware ADS-B (XSP / WSSL)
Thu 01:09:47 PM,1.8353,103.8068,↖ 334°,372,428,17975,825, FlightAware ADS-B (XSP / WSSL)
Thu 01:10:17 PM,1.8829,103.7833,↖ 334°,377,434,18250,1147, FlightAware ADS-B (WSAG)
Thu 01:10:38 PM,1.915,103.7671,↖ 328°,383,441,18950,2115, FlightAware ADS-B (QPG / WSAP)
Thu 01:10:56 PM,1.9412,103.7439,← 306°,393,452,19625,2270, FlightAware ADS-B (MKZ / WMKM)
Thu 01:11:15 PM,1.9542,103.7136,← 282°,395,455,20350,2526, FlightAware ADS-B (WSAG)
Thu 01:11:34 PM,1.9534,103.6816,← 256°,386,444,21225,2633, FlightAware ADS-B (WSAG)
Thu 01:12:04 PM,1.9387,103.6284,← 255°,389,448,22500,2150, FlightAware ADS-B (QPG / WSAP)
Thu 01:12:34 PM,1.9252,103.5767,← 255°,397,457,23375,1500, FlightAware ADS-B (WSAC)
Thu 01:13:04 PM,1.9105,103.5216,← 255°,399,459,24000,615, FlightAware ADS-B (QPG / WSAP)
Thu 01:13:35 PM,1.8958,103.4668,← 255°,399,459,24000,, FlightAware ADS-B (WSAC)
Thu 01:14:06 PM,1.8809,103.4115,← 255°,400,460,24000,, FlightAware ADS-B (SIN / WSSS)
Thu 01:14:36 PM,1.8665,103.3573,← 255°,407,468,24000,, FlightAware ADS-B (WMAP)
Thu 01:14:57 PM,1.8572,103.3219,← 258°,403,464,24000,, FlightAware ADS-B (XSP / WSSL)
Thu 01:15:17 PM,1.8557,103.2816,← 278°,401,461,24000,, FlightAware ADS-B (MKZ / WMKM)
Thu 01:15:40 PM,1.8693,103.2422,← 297°,397,457,24000,, FlightAware ADS-B (MKZ / WMKM)
Thu 01:16:20 PM,1.9044,103.179,← 299°,399,459,24000,, FlightAware ADS-B (SIN / WSSS)
Thu 01:16:50 PM,1.9325,103.1284,← 299°,398,458,24000,, FlightAware ADS-B (MKZ / WMKM)
Thu 01:17:20 PM,1.9593,103.0806,← 299°,397,457,24000,, FlightAware ADS-B (MKZ / WMKM)
Thu 01:17:50 PM,1.9853,103.0345,← 299°,394,453,24000,, FlightAware ADS-B (SIN / WSSS)
Thu 01:18:21 PM,2.0133,102.9852,← 300°,398,458,24000,, FlightAware ADS-B (JHB / WMKJ)
Thu 01:18:51 PM,2.0414,102.9361,← 300°,400,460,24000,, FlightAware ADS-B (JHB / WMKJ)
Thu 01:19:21 PM,2.0687,102.8873,← 299°,405,466,24000,, FlightAware ADS-B (MKZ / WMKM)
Thu 01:19:51 PM,2.0954,102.8386,← 299°,406,467,24000,-242, FlightAware ADS-B (SZB / WMSA)
Thu 01:20:23 PM,2.1243,102.7862,← 299°,399,459,23750,-992, FlightAware ADS-B (MKZ / WMKM)
Thu 01:20:53 PM,2.1506,102.7387,← 299°,394,453,22975,-1500, FlightAware ADS-B (WMAP)
Thu 01:21:23 PM,2.1781,102.69,← 300°,378,435,22250,-1725, FlightAware ADS-B (MKZ / WMKM)
Thu 01:21:53 PM,2.2026,102.6476,← 300°,371,427,21250,-2050, FlightAware ADS-B (WMAP)
Thu 01:22:23 PM,2.2283,102.6019,← 297°,361,415,20200,-2219, FlightAware ADS-B (JHB / WMKJ)
Thu 01:22:41 PM,2.2405,102.5763,← 295°,361,415,19475,-2344, FlightAware ADS-B (WSAG)
Thu 01:23:11 PM,2.2611,102.5313,← 294°,358,412,18325,-2375, FlightAware ADS-B (SZB / WMSA)
Thu 01:23:41 PM,2.2808,102.4848,← 292°,356,410,17100,-2250, FlightAware ADS-B (WMAV)
Thu 01:24:11 PM,2.2987,102.4403,← 292°,354,407,16075,-1848, FlightAware ADS-B (SZB / WMSA)
Thu 01:24:37 PM,2.3155,102.3997,← 291°,349,402,15375,-1570, FlightAware ADS-B (MKZ / WMKM)
Thu 01:24:54 PM,2.3211,102.3744,← 274°,350,403,14950,-1364, FlightAware ADS-B (SZB / WMSA)
Thu 01:25:32 PM,2.3176,102.3128,← 267°,337,388,14125,-1456, FlightAware ADS-B (SZB / WMSA)
Thu 01:26:02 PM,2.3152,102.2669,← 267°,330,380,13300,-1800, FlightAware ADS-B (SZB / WMSA)
Thu 01:26:32 PM,2.3123,102.2209,← 266°,321,369,12325,-1875, FlightAware ADS-B (QPG / WSAP)
Thu 01:27:02 PM,2.3097,102.1778,← 267°,313,360,11425,-1925, FlightAware ADS-B (MKZ / WMKM)
Thu 01:27:32 PM,2.3072,102.1337,← 267°,308,354,10400,-2000, FlightAware ADS-B (MKZ / WMKM)
Thu 01:28:02 PM,2.3047,102.0939,← 267°,305,351,9425,-2000, FlightAware ADS-B (SZB / WMSA)
Thu 01:28:35 PM,2.3019,102.0463,← 267°,295,339,8300,-2024, FlightAware ADS-B (QPG / WSAP)
Thu 01:29:05 PM,2.2995,102.0062,← 267°,286,329,7300,-2175, FlightAware ADS-B (MKZ / WMKM)
Thu 01:29:35 PM,2.2971,101.9662,← 267°,281,323,6125,-2100, FlightAware ADS-B (MKZ / WMKM)
Thu 01:30:05 PM,2.2949,101.9307,← 266°,268,308,5200,-1945, FlightAware ADS-B (WMBF)
Thu 01:30:39 PM,2.2921,101.8872,← 267°,257,296,4050,-2147, FlightAware ADS-B (MKZ / WMKM)
Thu 01:31:03 PM,2.2918,101.8605,← 278°,258,297,3125,-1731, FlightAware ADS-B (SZB / WMSA)
Thu 01:31:31 PM,2.3102,101.8348,↖ 329°,254,292,2550,-627, FlightAware ADS-B (KUL / WMKK)
Thu 01:31:58 PM,2.344,101.8292,↑ 357°,260,299,2550,26, FlightAware ADS-B (MKZ / WMKM)
Thu 01:32:29 PM,2.3803,101.8267,↑ 356°,259,298,2575,30, FlightAware ADS-B (MKZ / WMKM)
Thu 01:32:48 PM,2.403,101.8252,↑ 356°,251,289,2575,, FlightAware ADS-B (MKZ / WMKM)
Thu 01:33:08 PM,2.4242,101.8238,↑ 356°,232,267,2575,, FlightAware ADS-B (SZB / WMSA)
Thu 01:33:28 PM,2.4447,101.8224,↑ 356°,222,255,2575,-28, FlightAware ADS-B (SZB / WMSA)
Thu 01:34:01 PM,2.4801,101.8201,↑ 357°,216,249,2550,-30, FlightAware ADS-B (MKZ / WMKM)
Thu 01:34:18 PM,2.4967,101.8191,↑ 357°,202,232,2550,, FlightAware ADS-B (MKZ / WMKM)
Thu 01:34:36 PM,2.5121,101.8182,↑ 356°,201,231,2550,, FlightAware ADS-B (SZB / WMSA)
Thu 01:34:54 PM,2.5299,101.8147,↖ 337°,194,223,2550,, FlightAware ADS-B (MKZ / WMKM)
Thu 01:35:22 PM,2.5513,101.8026,↖ 327°,194,223,2550,, FlightAware ADS-B (SZB / WMSA)
Thu 01:35:52 PM,2.5742,101.7875,↖ 326°,199,229,2550,31, FlightAware ADS-B (SZB / WMSA)
Thu 01:36:10 PM,2.5878,101.7783,↖ 326°,183,211,2575,-276, FlightAware ADS-B (SZB / WMSA)
Thu 01:36:41 PM,2.6078,101.7649,↖ 326°,166,191,2325,-574, FlightAware ADS-B (SZB / WMSA)
Thu 01:36:57 PM,2.6175,101.7584,↖ 326°,166,191,2125,-783, FlightAware ADS-B (KUL / WMKK)
Thu 01:37:27 PM,2.6363,101.7458,↖ 326°,152,175,1725,-775, FlightAware ADS-B (KUL / WMKK)
Thu 01:37:57 PM,2.6533,101.7344,↖ 326°,147,169,1350,-750, FlightAware ADS-B (KUL / WMKK)
Thu 01:38:27 PM,2.6706,101.7228,↖ 326°,146,168,975,-750, FlightAware ADS-B (KUL / WMKK)
Thu 01:38:35 PM,2.6747,101.7201,↖ 326°,145,167,875,-706, Surface and Near-Surface
Thu 01:38:44 PM,2.6794,101.7169,↖ 326°,145,167,775,-720, FlightAware ADS-B (WMBF)
Thu 01:39:00 PM,2.6893,101.7103,↖ 326°,148,170,575,-750, FlightAware ADS-B (KUL / WMKK)
Thu 01:39:16 PM,2.6978,101.7046,↖ 326°,148,170,375,-750, FlightAware ADS-B (KUL / WMKK)
Thu 01:39:34 PM,2.7086,101.6973,↖ 326°,149,171,150,-750, FlightAware ADS-B (KUL / WMKK)
Thu 01:40:11 PM    Arrival (KUL) @ Thursday 01:40:11 PM +08,,,,,,,, FlightAware
Taxi Time: 4 minutes,,,,,,,,
Thu 01:45:00 PM    Gate Arrival (KUL) @ Thursday 01:45:00 PM +08,,,,,,,, Airline
,,,,,,,,
Wed 12:44:00 PM    Left Gate (SIN) @ Wednesday 12:44:00 PM +08,,,,,,,, Airline
Taxi Time: 15 minutes,,,,,,,,
Wed 12:59:47 PM    Departure (SIN) @ Wednesday 12:59:47 PM +08,,,,,,,, FlightAware ADS-B (QPG / WSAP)
Wed 12:59:47 PM,1.3307,103.986,↙ 203°,173,199,725,, FlightAware ADS-B (QPG / WSAP)
Wed 01:00:03 PM,1.3184,103.9809,↙ 203°,195,224,1100,1409, FlightAware ADS-B (QPG / WSAP)
Wed 01:00:20 PM,1.3034,103.9745,↙ 203°,219,252,1500,1773, FlightAware ADS-B (TGA / WSAT)
Wed 01:00:36 PM,1.2878,103.9679,↙ 203°,240,276,2075,2382, FlightAware ADS-B (XSP / WSSL)
Wed 01:00:54 PM,1.2677,103.9594,↙ 203°,260,299,2850,2657, FlightAware ADS-B (QPG / WSAP)
Wed 01:01:11 PM,1.2493,103.9521,↓ 198°,272,313,3625,3086, FlightAware ADS-B (QPG / WSAP)
Wed 01:01:29 PM,1.2251,103.9524,↓ 166°,278,320,4650,3257, FlightAware ADS-B (XSP / WSSL)
Wed 01:01:46 PM,1.2079,103.963,↘ 138°,279,321,5525,2400, FlightAware ADS-B (TGA / WSAT)
Wed 01:02:04 PM,1.1955,103.985,→ 107°,279,321,6050,2100, FlightAware ADS-B (SIN / WSSS)
Wed 01:02:21 PM,1.1969,104.0071,→ 74°,279,321,6750,2700, FlightAware ADS-B (QPG / WSAP)
Wed 01:02:39 PM,1.2082,104.0245,↗ 47°,281,323,7625,3042, FlightAware ADS-B (TGA / WSAT)
Wed 01:02:57 PM,1.228,104.0359,↗ 22°,286,329,8575,3058, FlightAware ADS-B (QPG / WSAP)
Wed 01:03:31 PM,1.2721,104.0518,↑ 16°,295,339,10275,2941, FlightAware ADS-B (SIN / WSSS)
Wed 01:03:48 PM,1.2957,104.0543,↑ 359°,301,346,11075,2830, FlightAware ADS-B (XSP / WSSL)
Wed 01:04:15 PM,1.3334,104.0447,↑ 341°,309,356,12350,2684, FlightAware ADS-B (WSAG)
Wed 01:04:45 PM,1.3751,104.0314,↑ 343°,314,361,13625,2484, FlightAware ADS-B (WSAG)
Wed 01:05:16 PM,1.4181,104.0181,↑ 342°,318,366,14875,2518, FlightAware ADS-B (SIN / WSSS)
Wed 01:05:41 PM,1.4533,104.0063,↖ 337°,323,372,15975,1909, FlightAware ADS-B (SIN / WSSS)
Wed 01:06:00 PM,1.4761,103.9884,← 310°,348,400,16275,1784, FlightAware ADS-B (TGA / WSAT)
Wed 01:06:39 PM,1.5073,103.9293,← 298°,364,419,17700,2217, FlightAware ADS-B (SIN / WSSS)
Wed 01:07:09 PM,1.5302,103.8864,← 298°,370,426,18825,1549, FlightAware ADS-B (TGA / WSAT)
Wed 01:07:40 PM,1.5567,103.8366,← 298°,397,457,19275,1057, FlightAware ADS-B (WSAC)
Wed 01:08:10 PM,1.5827,103.7876,← 298°,415,478,19900,1550, FlightAware ADS-B (TGA / WSAT)
Wed 01:08:40 PM,1.6102,103.7357,← 298°,422,486,20825,1721, FlightAware ADS-B (TGA / WSAT)
Wed 01:09:11 PM,1.6392,103.6812,← 298°,432,497,21650,1863, FlightAware ADS-B (TGA / WSAT)
Wed 01:09:42 PM,1.6683,103.6261,← 298°,434,499,22750,2189, FlightAware ADS-B (QPG / WSAP)
Wed 01:10:12 PM,1.6952,103.5753,← 298°,418,481,23875,1142, FlightAware ADS-B (SIN / WSSS)
Wed 01:10:49 PM,1.7299,103.51,← 298°,428,493,24025,112, FlightAware ADS-B (XSP / WSSL)
Wed 01:11:19 PM,1.7579,103.4569,← 298°,412,474,24000,-25, FlightAware ADS-B (SIN / WSSS)
Wed 01:11:49 PM,1.7842,103.4075,← 298°,397,457,24000,, FlightAware ADS-B (SIN / WSSS)
Wed 01:12:19 PM,1.8099,103.3589,← 298°,397,457,24000,, FlightAware ADS-B (SIN / WSSS)
Wed 01:12:49 PM,1.8358,103.31,← 298°,399,459,24000,, FlightAware ADS-B (SIN / WSSS)
Wed 01:13:19 PM,1.8614,103.2607,← 296°,399,459,24000,, FlightAware ADS-B (SIN / WSSS)
Wed 01:13:50 PM,1.8855,103.2107,← 296°,399,459,24000,, FlightAware ADS-B (MKZ / WMKM)
Wed 01:14:20 PM,1.9098,103.161,← 296°,400,460,24000,, FlightAware ADS-B (XSP / WSSL)
Wed 01:14:50 PM,1.9341,103.1113,← 296°,399,459,24000,, FlightAware ADS-B (XSP / WSSL)
Wed 01:15:21 PM,1.96,103.0583,← 296°,398,458,24000,, FlightAware ADS-B (WMAP)
Wed 01:15:51 PM,1.9834,103.0107,← 296°,399,459,24000,, FlightAware ADS-B (MKZ / WMKM)
Wed 01:16:21 PM,2.0087,102.9592,← 296°,399,459,24000,, FlightAware ADS-B (QPG / WSAP)
Wed 01:16:51 PM,2.0332,102.9092,← 296°,398,458,24000,, FlightAware ADS-B (PKU / WIBB)
Wed 01:17:21 PM,2.0566,102.8613,← 296°,400,460,24000,, FlightAware ADS-B (MKZ / WMKM)
Wed 01:17:52 PM,2.0805,102.8122,← 296°,400,460,24000,, FlightAware ADS-B (WSAG)
Wed 01:18:22 PM,2.1061,102.7598,← 296°,397,457,24000,, FlightAware ADS-B (PKU / WIBB)
Wed 01:18:53 PM,2.1303,102.7102,← 296°,401,461,24000,-460, FlightAware ADS-B (WMBF)
Wed 01:19:24 PM,2.1562,102.6565,← 294°,390,449,23525,-938, FlightAware ADS-B (PKU / WIBB)
Wed 01:19:41 PM,2.1645,102.629,← 284°,386,444,23250,-927, FlightAware ADS-B (WSAG)
Wed 01:20:19 PM,2.1725,102.5609,← 277°,381,438,22675,-957, FlightAware ADS-B (SZB / WMSA)
Wed 01:20:50 PM,2.1786,102.5099,← 277°,379,436,22150,-762, FlightAware ADS-B (WMAV)
Wed 01:21:20 PM,2.1846,102.4578,← 276°,375,432,21900,-1357, FlightAware ADS-B (QPG / WSAP)
Wed 01:21:53 PM,2.1913,102.3998,← 277°,387,445,20725,-2029, FlightAware ADS-B (JHB / WMKJ)
Wed 01:22:28 PM,2.1984,102.3375,← 277°,381,438,19600,-1869, FlightAware ADS-B (XSP / WSSL)
Wed 01:22:58 PM,2.2045,102.2849,← 277°,375,432,18700,-1500, FlightAware ADS-B (XSP / WSSL)
Wed 01:23:28 PM,2.2105,102.2326,← 276°,358,412,18100,-1125, FlightAware ADS-B (MKZ / WMKM)
Wed 01:23:58 PM,2.2159,102.1857,← 277°,347,399,17575,-1100, FlightAware ADS-B (WMAP)
Wed 01:24:28 PM,2.2213,102.1385,← 277°,342,394,17000,-1150, FlightAware ADS-B (MKZ / WMKM)
Wed 01:24:58 PM,2.2268,102.0903,← 277°,341,392,16425,-1125, FlightAware ADS-B (WMAP)
Wed 01:25:28 PM,2.2321,102.0436,← 276°,340,391,15875,-1100, FlightAware ADS-B (WMAP)
Wed 01:25:58 PM,2.2373,101.9983,← 277°,335,386,15325,-1075, FlightAware ADS-B (SZB / WMSA)
Wed 01:26:28 PM,2.2425,101.9531,← 277°,329,379,14800,-1095, FlightAware ADS-B (SZB / WMSA)
Wed 01:27:01 PM,2.2484,101.9015,← 277°,327,376,14175,-1143, FlightAware ADS-B (MKZ / WMKM)
Wed 01:27:31 PM,2.2535,101.8563,← 276°,328,377,13600,-1650, FlightAware ADS-B (MKZ / WMKM)
Wed 01:28:01 PM,2.2585,101.8127,← 277°,337,388,12525,-1900, FlightAware ADS-B (SZB / WMSA)
Wed 01:28:31 PM,2.2637,101.7658,← 276°,332,382,11700,-1600, FlightAware ADS-B (SZB / WMSA)
Wed 01:29:01 PM,2.2689,101.7209,← 277°,325,374,10925,-1393, FlightAware ADS-B (SZB / WMSA)
Wed 01:29:27 PM,2.2736,101.6827,← 279°,315,362,10400,-1267, FlightAware ADS-B (MKZ / WMKM)
Wed 01:29:46 PM,2.2858,101.6583,← 309°,307,353,9975,-1308, FlightAware ADS-B (SZB / WMSA)
Wed 01:30:06 PM,2.3064,101.6398,↖ 320°,299,344,9550,-1260, FlightAware ADS-B (SZB / WMSA)
Wed 01:30:36 PM,2.3374,101.6135,↖ 319°,280,322,8925,-1227, FlightAware ADS-B (SZB / WMSA)
Wed 01:31:01 PM,2.3615,101.5927,↖ 320°,268,308,8425,-1400, FlightAware ADS-B (SZB / WMSA)
Wed 01:31:21 PM,2.3832,101.5838,↑ 353°,263,303,7875,-1658, FlightAware ADS-B (SZB / WMSA)
Wed 01:31:39 PM,2.4047,101.5889,↗ 28°,258,297,7375,-1917, FlightAware ADS-B (SZB / WMSA)
Wed 01:31:57 PM,2.4192,101.6049,↗ 59°,263,303,6725,-1897, FlightAware ADS-B (MKZ / WMKM)
Wed 01:32:13 PM,2.4228,101.6224,→ 89°,266,306,6300,-1395, FlightAware ADS-B (MKZ / WMKM)
Wed 01:32:40 PM,2.4168,101.6561,→ 102°,261,300,5725,-1263, FlightAware ADS-B (SZB / WMSA)
Wed 01:33:10 PM,2.4099,101.6907,→ 101°,260,299,5100,-1352, FlightAware ADS-B (SZB / WMSA)
Wed 01:33:41 PM,2.4028,101.7278,→ 101°,261,300,4350,-1371, FlightAware ADS-B (SZB / WMSA)
Wed 01:34:08 PM,2.3975,101.76,→ 95°,259,298,3775,-1151, FlightAware ADS-B (SZB / WMSA)
Wed 01:34:24 PM,2.4019,101.7772,→ 69°,251,289,3525,-818, FlightAware ADS-B (WMBF)
Wed 01:34:41 PM,2.4149,101.7903,↗ 34°,234,269,3325,-825, FlightAware ADS-B (KUL / WMKK)
Wed 01:35:04 PM,2.4392,101.7972,↑ 11°,224,258,2975,-938, FlightAware ADS-B (SZB / WMSA)
Wed 01:35:21 PM,2.4561,101.8007,↑ 13°,222,255,2700,-375, FlightAware ADS-B (KUL / WMKK)
Wed 01:35:56 PM,2.4895,101.8082,↑ 12°,203,234,2650,-58, FlightAware ADS-B (KUL / WMKK)
Wed 01:36:13 PM,2.505,101.8114,↑ 12°,205,236,2650,, FlightAware ADS-B (KUL / WMKK)
Wed 01:36:30 PM,2.5211,101.8147,↑ 9°,194,223,2650,, FlightAware ADS-B (KUL / WMKK)
Wed 01:36:46 PM,2.5347,101.8122,↖ 338°,186,214,2650,, FlightAware ADS-B (SZB / WMSA)
Wed 01:37:08 PM,2.5506,101.8031,↖ 328°,186,214,2650,, FlightAware ADS-B (SZB / WMSA)
Wed 01:37:26 PM,2.5633,101.7947,↖ 326°,184,212,2650,, FlightAware ADS-B (KUL / WMKK)
Wed 01:37:49 PM,2.5803,101.7833,↖ 326°,186,214,2650,-113, FlightAware ADS-B (SZB / WMSA)
Wed 01:38:19 PM,2.6011,101.7694,↖ 326°,172,198,2550,-525, FlightAware ADS-B (SZB / WMSA)
Wed 01:38:49 PM,2.6205,101.7564,↖ 326°,164,189,2125,-827, FlightAware ADS-B (SZB / WMSA)
Wed 01:39:08 PM,2.6322,101.7486,↖ 326°,166,191,1875,-827, FlightAware ADS-B (SZB / WMSA)
Wed 01:39:38 PM,2.6512,101.7358,↖ 326°,154,177,1450,-775, FlightAware ADS-B (KUL / WMKK)
Wed 01:40:08 PM,2.6683,101.7244,↖ 326°,148,170,1100,-716, FlightAware ADS-B (KUL / WMKK)
Wed 01:40:22 PM,2.676,101.7192,↖ 326°,146,168,925,-711, Surface and Near-Surface
Wed 01:40:27 PM,2.6789,101.7173,↖ 326°,144,166,875,-714, FlightAware ADS-B (WMBF)
Wed 01:40:43 PM,2.6877,101.7113,↖ 326°,146,168,675,-703, FlightAware ADS-B (WMBF)
Wed 01:40:59 PM,2.6966,101.7054,↖ 327°,145,167,500,-656, FlightAware ADS-B (KUL / WMKK)
Wed 01:41:50 PM    Arrival (KUL) @ Wednesday 01:41:50 PM +08,,,,,,,, FlightAware
Taxi Time: 6 minutes,,,,,,,,
Wed 01:48:00 PM    Gate Arrival (KUL) @ Wednesday 01:48:00 PM +08,,,,,,,, Airline
,,,,,,,,
