Time (+08),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Thu 12:18:00 PM    Left Gate (SIN) @ Thursday 12:18:00 PM +08,,,,,,,, Airline
Taxi Time: 10 minutes,,,,,,,,
Thu 12:28:03 PM    Departure (SIN) @ Thursday 12:28:03 PM +08,,,,,,,, FlightAware ADS-B (XSP / WSSL)
Thu 12:51:22 PM,2.2489,101.9163,← 291°,303,349,7000,-620, FlightAware ADS-B (MKZ / WMKM)
Thu 12:51:38 PM,2.2563,101.8964,← 290°,292,336,6825,-656, FlightAware ADS-B (MKZ / WMKM)
Thu 12:51:54 PM,2.264,101.8761,← 291°,282,325,6650,-656, FlightAware ADS-B (MKZ / WMKM)
Thu 12:52:10 PM,2.2712,101.857,← 291°,273,314,6475,-685, FlightAware ADS-B (MKZ / WMKM)
Thu 12:52:40 PM,2.2839,101.8235,← 291°,257,296,6125,-975, FlightAware ADS-B (SZB / WMSA)
Thu 12:53:10 PM,2.2976,101.7896,← 300°,254,292,5500,-1272, FlightAware ADS-B (KUL / WMKK)
Thu 12:53:26 PM,2.3102,101.7766,↖ 327°,251,289,5150,-1208, FlightAware ADS-B (SZB / WMSA)
Thu 12:53:46 PM,2.3321,101.7722,↑ 6°,243,280,4775,-1098, FlightAware ADS-B (SZB / WMSA)
Thu 12:54:07 PM,2.3546,101.7774,↑ 13°,241,277,4400,-1147, FlightAware ADS-B (SZB / WMSA)
Thu 12:54:37 PM,2.3874,101.7844,↑ 12°,239,275,3800,-1175, FlightAware ADS-B (SZB / WMSA)
Thu 12:55:07 PM,2.4199,101.7917,↑ 13°,236,272,3225,-1125, FlightAware ADS-B (SZB / WMSA)
Thu 12:55:37 PM,2.4518,101.7989,↑ 13°,231,266,2675,-781, FlightAware ADS-B (SZB / WMSA)
Thu 12:55:55 PM,2.4717,101.8034,↑ 13°,227,261,2600,-129, FlightAware ADS-B (KUL / WMKK)
Thu 12:56:12 PM,2.4876,101.807,↑ 13°,210,242,2600,43, FlightAware ADS-B (MKZ / WMKM)
Thu 12:56:30 PM,2.5042,101.8107,↑ 13°,195,224,2625,42, FlightAware ADS-B (KUL / WMKK)
Thu 12:56:48 PM,2.519,101.814,↑ 12°,193,222,2625,, FlightAware ADS-B (SZB / WMSA)
Thu 12:57:10 PM,2.5376,101.8106,↖ 332°,201,231,2625,, FlightAware ADS-B (SZB / WMSA)
Thu 12:57:43 PM,2.5655,101.7932,↖ 326°,200,230,2625,, FlightAware ADS-B (KUL / WMKK)
Thu 12:58:16 PM,2.5909,101.7761,↖ 326°,202,232,2625,-214, FlightAware ADS-B (KUL / WMKK)
Thu 12:58:32 PM,2.6031,101.768,↖ 326°,206,237,2450,-848, FlightAware ADS-B (KUL / WMKK)
Thu 12:59:02 PM,2.6259,101.7528,↖ 326°,182,209,1975,-900, FlightAware ADS-B (KUL / WMKK)
Thu 12:59:32 PM,2.6456,101.7396,↖ 326°,158,182,1550,-800, FlightAware ADS-B (KUL / WMKK)
Thu 01:00:02 PM,2.6636,101.7275,↖ 327°,155,178,1175,-750, FlightAware ADS-B (KUL / WMKK)
Thu 01:00:18 PM,2.672,101.7219,↖ 327°,152,175,975,-868, FlightAware ADS-B (WMBF)
Thu 01:00:21 PM,2.6751,101.7198,↖ 326°,153,176,900,-750, Surface and Near-Surface
Thu 01:00:34 PM,2.6816,101.7155,↖ 326°,154,177,775,-672, FlightAware ADS-B (WMBF)
Thu 01:00:50 PM,2.6909,101.7092,↖ 326°,152,175,575,-797, FlightAware ADS-B (WMBF)
Thu 01:01:06 PM,2.7014,101.7022,↖ 326°,151,174,350,-844, FlightAware ADS-B (KUL / WMKK)
Thu 01:01:51 PM    Arrival (KUL) @ Thursday 01:01:51 PM +08,,,,,,,, FlightAware
Taxi Time: 4 minutes,,,,,,,,
Thu 01:06:00 PM    Gate Arrival (KUL) @ Thursday 01:06:00 PM +08,,,,,,,, Airline
,,,,,,,,
Wed 12:08:00 PM    Left Gate (SIN) @ Wednesday 12:08:00 PM +08,,,,,,,, Airline
Taxi Time: 10 minutes,,,,,,,,
Wed 12:18:37 PM    Departure (SIN) @ Wednesday 12:18:37 PM +08,,,,,,,, FlightAware ADS-B (TGA / WSAT)
Wed 12:18:37 PM,1.3525,103.9949,↑ 21°,167,192,600,, FlightAware ADS-B (TGA / WSAT)
Wed 12:18:55 PM,1.3652,103.9999,↗ 22°,185,213,1175,1985, FlightAware ADS-B (JHB / WMKJ)
Wed 12:19:11 PM,1.3794,104.0059,↗ 24°,208,239,1725,2297, FlightAware ADS-B (TGA / WSAT)
Wed 12:19:27 PM,1.3935,104.012,↗ 24°,228,262,2400,2953, FlightAware ADS-B (QPG / WSAP)
Wed 12:19:43 PM,1.4098,104.0191,↗ 24°,236,272,3300,2700, FlightAware ADS-B (QPG / WSAP)
Wed 12:20:07 PM,1.4342,104.0296,↗ 23°,240,276,4200,1763, FlightAware ADS-B (QPG / WSAP)
Wed 12:20:23 PM,1.4504,104.0359,↑ 15°,242,278,4475,984, FlightAware ADS-B (WSAG)
Wed 12:20:39 PM,1.4686,104.0357,↑ 343°,248,285,4725,986, FlightAware ADS-B (TGA / WSAT)
Wed 12:20:58 PM,1.486,104.0215,← 302°,255,293,5050,1781, FlightAware ADS-B (WSAC)
Wed 12:21:27 PM,1.4999,103.9923,← 296°,267,307,6150,2568, FlightAware ADS-B (QPG / WSAP)
Wed 12:21:57 PM,1.5176,103.9568,← 297°,289,333,7575,2600, FlightAware ADS-B (XSP / WSSL)
Wed 12:22:27 PM,1.5356,103.9207,← 296°,296,341,8750,2674, FlightAware ADS-B (QPG / WSAP)
Wed 12:22:43 PM,1.5437,103.9001,← 285°,304,350,9625,2633, FlightAware ADS-B (XSP / WSSL)
Wed 12:23:16 PM,1.5515,103.8534,← 279°,340,391,10900,2190, FlightAware ADS-B (QPG / WSAP)
Wed 12:23:46 PM,1.5594,103.8039,← 279°,353,406,11925,1775, FlightAware ADS-B (TGA / WSAT)
Wed 12:24:16 PM,1.5672,103.7554,← 279°,358,412,12675,1750, FlightAware ADS-B (JHB / WMKJ)
Wed 12:24:46 PM,1.5752,103.7061,← 279°,366,421,13675,2325, FlightAware ADS-B (XSP / WSSL)
Wed 12:25:16 PM,1.5835,103.6549,← 279°,377,434,15000,2464, FlightAware ADS-B (WSAC)
Wed 12:25:42 PM,1.5915,103.6092,← 283°,377,434,15975,1699, FlightAware ADS-B (SIN / WSSS)
Wed 12:26:24 PM,1.614,103.5388,← 289°,384,442,16925,1229, FlightAware ADS-B (SIN / WSSS)
Wed 12:26:54 PM,1.6313,103.4882,← 289°,387,445,17450,1025, FlightAware ADS-B (QPG / WSAP)
Wed 12:27:24 PM,1.649,103.4377,← 289°,389,448,17950,676, FlightAware ADS-B (SIN / WSSS)
Wed 12:27:45 PM,1.6615,103.4017,← 291°,389,448,18025,647, FlightAware ADS-B (SIN / WSSS)
Wed 12:28:15 PM,1.6827,103.3509,← 294°,393,452,18500,1625, FlightAware ADS-B (WSAG)
Wed 12:28:45 PM,1.7039,103.3031,← 294°,399,459,19650,2175, FlightAware ADS-B (QPG / WSAP)
Wed 12:29:15 PM,1.727,103.2514,← 294°,403,464,20675,1500, FlightAware ADS-B (WSAG)
Wed 12:29:46 PM,1.7511,103.198,← 294°,412,474,21175,959, FlightAware ADS-B (SIN / WSSS)
Wed 12:30:16 PM,1.7758,103.1438,← 295°,430,495,21650,787, FlightAware ADS-B (QPG / WSAP)
Wed 12:30:47 PM,1.8011,103.0887,← 295°,451,519,21975,363, FlightAware ADS-B (QPG / WSAP)
Wed 12:31:18 PM,1.8284,103.0295,← 295°,453,521,22025,64, FlightAware ADS-B (QPG / WSAP)
Wed 12:31:34 PM,1.8413,103.0003,← 292°,454,522,22025,, FlightAware ADS-B (JHB / WMKJ)
Wed 12:32:05 PM,1.8624,102.9369,← 288°,452,520,22025,, FlightAware ADS-B (QPG / WSAP)
Wed 12:32:43 PM,1.8869,102.8615,← 288°,452,520,22025,, FlightAware ADS-B (SZB / WMSA)
Wed 12:33:13 PM,1.9059,102.8026,← 288°,453,521,22025,, FlightAware ADS-B (SZB / WMSA)
Wed 12:33:44 PM,1.9257,102.7416,← 288°,451,519,22025,, FlightAware ADS-B (SZB / WMSA)
Wed 12:34:14 PM,1.9448,102.6821,← 288°,450,518,22025,, FlightAware ADS-B (SZB / WMSA)
Wed 12:34:44 PM,1.9642,102.6216,← 288°,450,518,22025,, FlightAware ADS-B (SZB / WMSA)
Wed 12:35:14 PM,1.9832,102.5623,← 288°,450,518,22025,, FlightAware ADS-B (SZB / WMSA)
Wed 12:35:46 PM,2.0035,102.4992,← 288°,451,519,22025,, FlightAware ADS-B (MKZ / WMKM)
Wed 12:36:16 PM,2.0227,102.4395,← 288°,450,518,22025,-123, FlightAware ADS-B (MKZ / WMKM)
Wed 12:36:47 PM,2.0428,102.3771,← 288°,449,517,21900,-738, FlightAware ADS-B (PKU / WIBB)
Wed 12:37:17 PM,2.0618,102.3178,← 288°,442,509,21275,-2175, FlightAware ADS-B (QPG / WSAP)
Wed 12:37:47 PM,2.0798,102.2618,← 288°,426,490,19725,-3566, FlightAware ADS-B (PKU / WIBB)
Wed 12:38:18 PM,2.0985,102.2035,← 288°,413,475,17650,-3959, FlightAware ADS-B (MKZ / WMKM)
Wed 12:38:48 PM,2.1156,102.1498,← 288°,404,465,15700,-3800, FlightAware ADS-B (XSP / WSSL)
Wed 12:39:18 PM,2.1317,102.1001,← 288°,390,449,13850,-3811, FlightAware ADS-B (SZB / WMSA)
Wed 12:39:49 PM,2.1492,102.0453,← 288°,380,437,11825,-3515, FlightAware ADS-B (MKZ / WMKM)
Wed 12:40:25 PM,2.1686,101.9848,← 288°,370,426,9925,-2432, FlightAware ADS-B (QPG / WSAP)
Wed 12:40:55 PM,2.1833,101.9385,← 288°,353,406,9150,-925, FlightAware ADS-B (MKZ / WMKM)
Wed 12:41:25 PM,2.1972,101.8951,← 288°,322,371,9000,-525, FlightAware ADS-B (SZB / WMSA)
Wed 12:41:55 PM,2.2107,101.8535,← 288°,299,344,8625,-913, FlightAware ADS-B (SZB / WMSA)
Wed 12:42:11 PM,2.2171,101.8335,← 288°,294,338,8300,-1182, FlightAware ADS-B (SZB / WMSA)
Wed 12:42:28 PM,2.2244,101.8113,← 288°,287,330,7975,-862, FlightAware ADS-B (SZB / WMSA)
Wed 12:42:58 PM,2.2362,101.7743,← 288°,268,308,7625,-1250, FlightAware ADS-B (SZB / WMSA)
Wed 12:43:28 PM,2.2472,101.7399,← 288°,267,307,6725,-2032, FlightAware ADS-B (SZB / WMSA)
